id,firstname,lastname,company_name,created_by,created_at,updated_at,updated_by,credentials_id,email,job_title_id,job_title_others,phone_number,gender,entrepreneurship,corporate_number,company_registration_type_id,company_registration_type_others,industry_group_id,member_state,accept_subscribe,industry_group_others,email_bk,is_invitation,is_pass_elearning_final_exam,is_pass_advanced_final_exam,login_via,update_profile_at,user_ref,line_id,job_title_group
88901688,Nattanunkorn,bunsawat,DNA four company,,2023-12-07 14:15:44,2023-12-14 12:39:21,SYSTEM,1795,2e9272ec36289649d2b2b1a1918c8f72828e5c19a31de1992e7aeed7f92e2bf2,NULL,NULL,0765434567,male,SME,4444444444444,3,NULL,12,MEMBER,1,NULL,,0,0,0,SME,2023-12-07 14:15:44,NULL,NULL,เจ้าของกิจการ
88901690,pornpavitplus,onehundredthirteen,pornpavit plus one hundred thirteen,,2023-12-07 15:05:20,2024-02-01 10:01:55,pornpavit+113@odds.team,1797,04dfb895eaf085294bac8720e4f2df5c6ac4782832dd763f97198f8431a15c78,NULL,NULL,0899999999,male,SME,1234567890123,2,,3,MEMBER,1,,,0,0,0,SME,2024-01-11 13:52:00,NULL,line1234,เจ้าของกิจการ
88901692,Arisa,Au,odds,,2023-12-08 13:50:21,2023-12-14 12:39:21,SYSTEM,1799,ddbbd2b688a28307bf385cf552d2b3858cbe3b39b9ace03d000b1859eb26c54e,NULL,NULL,0917163653,female,SME,4546365365356,2,NULL,11,MEMBER,1,NULL,,0,0,0,NULL,2023-12-08 13:50:21,NULL,NULL,เจ้าของกิจการ
88901693,chananya,sinphichit,chananya,,2023-12-08 14:00:03,2023-12-14 12:39:21,SYSTEM,1800,ab5cf11050ee2f8337798db7fa2d3394ca9322bb67295e41bddf11ee10ec9702,NULL,NULL,0987654567,female,SME,1234567890987,2,NULL,11,MEMBER,1,NULL,,0,0,0,NULL,2023-12-08 14:00:03,NULL,NULL,เจ้าของกิจการ
88901694,Arisa,Au,odds,,2023-12-08 14:04:41,2023-12-14 12:39:21,SYSTEM,1801,a8ba0100b6cb27709427c61adbe189b18cbe3b39b9ace03d000b1859eb26c54e,NULL,NULL,0917163653,male,SME,2387928749824,1,NULL,11,MEMBER,1,NULL,,0,0,0,NULL,2023-12-08 14:04:41,NULL,NULL,เจ้าของกิจการ
88901695,Arisa,Au,Au,,2023-12-08 15:01:58,2023-12-14 12:39:21,SYSTEM,1802,2bc6833abb64351363f3d5726bc7c3948cbe3b39b9ace03d000b1859eb26c54e,NULL,NULL,0917163653,male,SME,7564757657657,1,NULL,10,MEMBER,1,NULL,,0,0,0,NULL,2023-12-08 15:01:58,NULL,NULL,เจ้าของกิจการ
88901696,chananya,sinphichit,chananya,,2023-12-08 15:02:22,2023-12-14 12:39:21,SYSTEM,1803,b0fe7b6ec23bd77988a59d75b62d2417ca9322bb67295e41bddf11ee10ec9702,NULL,NULL,0987654345,female,SME,1234567890987,2,NULL,12,MEMBER,1,NULL,,0,0,0,NULL,2023-12-08 15:02:22,NULL,NULL,เจ้าของกิจการ
88901697,Mix,Odds,compttdกำดำหำ,,2023-12-08 15:18:16,2023-12-14 12:39:21,SYSTEM,1804,470bb78aad20d82380f802442bd595dc6ac4782832dd763f97198f8431a15c78,NULL,NULL,1231231203,female,SME,1111111111111,2,NULL,10,MEMBER,1,NULL,,0,0,0,SME,2023-12-08 15:18:16,NULL,NULL,เจ้าของกิจการ
88901698,kfcdslfks,jfsjljs,rigelgi,,2023-12-08 15:50:25,2023-12-14 12:39:21,SYSTEM,1805,eda06367de712b0f1048c65ac60bfc526ac4782832dd763f97198f8431a15c78,NULL,NULL,7754837589,male,SME,5473985737593,2,NULL,10,MEMBER,1,NULL,,0,0,0,NULL,2023-12-08 15:50:25,NULL,,เจ้าของกิจการ
88901699,gksjrghhgk,rigoejgoie,hfhkhkre,,2023-12-08 15:53:22,2023-12-14 12:39:21,SYSTEM,1806,6be898b5b8fab40bcec14623a916a6f96ac4782832dd763f97198f8431a15c78,NULL,NULL,7487543754,female,SME,4785784397583,1,NULL,10,MEMBER,1,NULL,,0,0,0,NULL,2023-12-08 15:53:22,NULL,,เจ้าของกิจการ
88901700,Mix,Odds,comp,,2023-12-08 15:55:16,2023-12-14 12:39:21,SYSTEM,1807,fc9cbcc7419de9b855813a3c198a7edc987e0476511704d60ae92126adf55437,NULL,NULL,1231231203,male,SME,7543753497539,1,NULL,10,MEMBER,1,NULL,,0,0,0,NULL,2023-12-08 15:55:16,NULL,,เจ้าของกิจการ
88901701,korntest,korn,korntest,,2023-12-08 15:57:42,2024-05-07 04:22:55,SYSTEM,1808,26a028d89956d1743461795920b03044dda840c871249d4b955b666eb1acb9a9,NULL,NULL,0863288552,female,SME,1111111111111,2,NULL,26,MEMBER,1,NULL,,0,0,0,SME,2023-12-08 15:57:42,NULL,,เจ้าของกิจการ
88901702,Nattanunone,bunsawat,ENA,,2023-12-08 16:30:45,2023-12-14 12:39:21,SYSTEM,1809,585f2f356abf165766b4eb539eee7177828e5c19a31de1992e7aeed7f92e2bf2,NULL,NULL,0958858585,female,SME,5555555555555,1,NULL,13,MEMBER,1,NULL,,0,0,0,SME,2023-12-08 16:30:45,NULL,ccaaaa,เจ้าของกิจการ
88901703,soda,thirty,soda30,,2023-12-08 16:46:18,2024-02-20 16:35:04,SYSTEM,1810,eb26e9ec20742e6a4d6fe6d4ad5513326151c5e7d39ee82a6d719965a9032e6c,NULL,NULL,0000000000,male,SME,1111111111111,1,NULL,12,MEMBER,1,NULL,,0,0,0,SME,2023-12-08 16:46:18,NULL,sljnfdsdknjknj,เจ้าของกิจการ
88901704,wan,wan,d,,2023-12-08 16:48:44,2023-12-14 12:39:21,SYSTEM,1811,09dcd96760acdbb4939210d362d02171,NULL,NULL,,male,SME,,1,NULL,11,MEMBER,1,NULL,,0,0,0,NULL,2023-12-08 16:48:44,NULL,,เจ้าของกิจการ
88901705,pornpavitplus,onehundredfiveteen,pornpavit plus one hundred five teen,,2023-12-08 17:00:12,2024-01-03 09:17:47,SYSTEM,1812,9a44ecfa92c9784c1718ff2fd189d6ba6ac4782832dd763f97198f8431a15c78,NULL,NULL,0899999999,female,SME,1234567890123,1,test จำกัด,13,MEMBER,1,NULL,,0,0,0,SME,2023-12-08 17:00:12,NULL,test,เจ้าของกิจการ
88901706,ชมญธัญ สอง,korn,korn02,,2023-12-08 17:10:09,2024-05-01 04:23:23,SYSTEM,1813,c2051fa7e40f6c7e4ce729f46457e3efdda840c871249d4b955b666eb1acb9a9,NULL,,0863288552,female,SME,2222222222222,1,,27,MEMBER,1,,,0,0,0,SME,2023-12-08 17:12:00,NULL,,เจ้าของกิจการ
88901769,Meena,Roger,Kodomo,,2023-12-21 12:48:47,2024-02-14 13:57:49,NULL,1876,0aad794eac66bd55ff9cb7a950a3e47cdab14091fd205e5b2efe32580705ce5d,NULL,NULL,0989889888,female,SME,0213394832094,3,NULL,2,MEMBER,1,NULL,,0,0,0,SME,2023-12-21 12:48:47,NULL,,เจ้าของกิจการ
88901770,ป,เ,glrj,,2023-12-21 16:54:54,2023-12-21 17:12:36,NULL,1877,e442e3ffbe7e5a08c969b5458b78738ca2c29a647e4f590c0e6b44bba2e749ec,NULL,NULL,,prefer_not_to_say,SME,,1,NULL,2,MEMBER,1,NULL,,0,0,0,SME,2023-12-21 16:54:54,NULL,,เจ้าของกิจการ
88901771,เกษศิรินทร์,หมื่นวงษ์ศา,โอเค บิ๊วเดอร์,,2023-12-21 17:55:05,2024-04-30 10:39:34,NULL,1878,9d06c60d119f126717ec2db6ddf6c6986151c5e7d39ee82a6d719965a9032e6c,NULL,NULL,,prefer_not_to_say,SME,,3,NULL,9,MEMBER,1,ขายของเรื่อยเปื่อย,,0,0,0,SME,2023-12-21 17:55:05,NULL,,เจ้าของกิจการ
88901772,อิ้งบวกยี่สิบสอง,อิ้งบวกยี่สิบสอง,อิ้งบวกยี่สิบสอง,,2023-12-22 10:03:22,2024-01-11 09:57:46,NULL,1879,bf0fc5c910b0fba1d80550bcb992ecdac8ec833f612804b0954bd5ccf6b92084,NULL,NULL,0876789876,female,SME,1234567654345,1,NULL,6,MEMBER,1,NULL,,0,0,0,SME,2023-12-22 10:03:22,NULL,,เจ้าของกิจการ
88901773,ืSumare,bunsawat,FNS six company,,2023-12-22 11:42:15,2023-12-22 11:43:41,NULL,1880,98f4c462b3a42aa0c7cb796a8410159c828e5c19a31de1992e7aeed7f92e2bf2,NULL,NULL,0898767868,male,SME,2323323232323,1,NULL,2,MEMBER,1,NULL,,0,0,0,SME,2023-12-22 11:42:15,NULL,ccake.io,เจ้าของกิจการ
88901774,Paphttt,SSrr,dgrgrd,,2023-12-22 11:42:23,2024-04-30 06:42:47,NULL,1881,427273d4f0e797a13284948c3104464a6ac4782832dd763f97198f8431a15c78,NULL,NULL,,prefer_not_to_say,SME,,2,NULL,1,MEMBER,1,NULL,,0,0,0,SME,2023-12-22 11:42:23,NULL,,เจ้าของกิจการ
88901775,P,P,P,,2023-12-22 13:09:36,2024-05-03 08:36:22,NULL,1882,42d896a4ef4e0482de2bfa90a948cd6d6ac4782832dd763f97198f8431a15c78,NULL,NULL,,prefer_not_to_say,SME,,1,NULL,2,MEMBER,1,NULL,,0,0,0,SME,2023-12-22 13:09:36,NULL,,เจ้าของกิจการ
88901776,P,S,S,,2023-12-22 13:16:21,2023-12-22 13:17:02,NULL,1883,1ed1b5036df2af25e71ca045092a96d06ac4782832dd763f97198f8431a15c78,1,NULL,2422432424,male,SME,,1,NULL,9,MEMBER,1,...,,0,0,0,SME,2023-12-22 13:16:21,NULL,,พนักงานบริษัท
88901777,S,P,Z,,2023-12-22 13:20:12,2023-12-22 13:21:45,NULL,1884,3980ffffaeb13778b5e5bf1c4151ad4a6ac4782832dd763f97198f8431a15c78,NULL,NULL,,female,SME,,1,NULL,1,MEMBER,1,NULL,,0,0,0,SME,2023-12-22 13:20:12,NULL,,เจ้าของกิจการ
88901778,Sand,Dyyyy,Sspp,,2023-12-22 13:39:49,2024-05-07 03:39:20,NULL,1885,2b630c285b7f51d1791342849d7165886ac4782832dd763f97198f8431a15c78,NULL,NULL,,prefer_not_to_say,SME,,2,NULL,5,MEMBER,1,NULL,,0,0,0,SME,2023-12-22 13:39:49,NULL,,เจ้าของกิจการ
88901779,Test,Five,P,,2023-12-22 13:43:53,2024-05-07 03:56:32,sandysand+124@odds.team,1886,7c45c28f59f46946cba1109a50a37b226ac4782832dd763f97198f8431a15c78,NULL,NULL,,female,SME,0000000000000,2,,7,MEMBER,1,,,0,0,0,SME,2024-04-24 06:21:00,NULL,,เจ้าของกิจการ
88901780,บิ๊ว,เดอร์,NULL,,2023-12-26 23:39:40,2024-01-19 16:52:24,NULL,1887,3256112e4021dd28b77753a330cbf8ec71678eab89437f78523dea447e38777f,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,SET_MEMBER,NULL,NULL,,0,0,0,SETMEMBER,2023-12-26 23:39:40,7004362,NULL,NULL
88901781,ธีรโชติ,แสงจันทร์ศิริพร,NULL,,2023-12-27 09:19:23,2023-12-27 09:20:06,NULL,1888,abd840f5c21e3cd8acdd29c70487cf8b828e5c19a31de1992e7aeed7f92e2bf2,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,SET_MEMBER,NULL,NULL,,0,0,0,SETMEMBER,2023-12-27 09:19:23,7004363,NULL,NULL
88901782,พิชญะ,ไพรินทร์,NULL,,2023-12-27 09:26:04,2024-01-08 11:43:37,NULL,1889,1bb2fab9c38214b4c9185d646d357fbca2c29a647e4f590c0e6b44bba2e749ec,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,SET_MEMBER,NULL,NULL,,0,0,0,SETMEMBER,2023-12-27 09:26:04,7004364,NULL,NULL
88901783,ธีรโชติ,แสงจันทร์ศิริพร,NULL,,2023-12-27 09:27:41,2024-01-11 10:34:04,NULL,1890,dd4df321f3a1a4cb20b0fec3887a8171828e5c19a31de1992e7aeed7f92e2bf2,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,SET_MEMBER,NULL,NULL,,0,0,0,SETMEMBER,2023-12-27 09:27:41,7004365,NULL,NULL
88901784,ด๊อกเต้ย,บวกหนึ่งเดฟ,NULL,,2023-12-27 09:28:30,2024-02-05 10:08:24,NULL,1891,275f117c8aa8fefc0397932c915a6ffcdda840c871249d4b955b666eb1acb9a9,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,SET_MEMBER,NULL,NULL,,0,0,0,SETMEMBER,2023-12-27 09:28:30,7004366,NULL,NULL
88901785,ด๊อกเต้ย,บวกสองเดฟ,NULL,,2023-12-27 09:37:37,2024-02-06 10:52:53,NULL,1892,475de1b17f04f5154683f695d1c9d8d5dda840c871249d4b955b666eb1acb9a9,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,SET_MEMBER,NULL,NULL,,0,0,0,SETMEMBER,2023-12-27 09:37:37,7004367,NULL,NULL
88901786,Arisa,Au,oddd,,2023-12-27 11:41:14,2023-12-27 11:42:53,NULL,1893,e2e22ef863746b9eb6df28b622ede63ca2c29a647e4f590c0e6b44bba2e749ec,NULL,NULL,0917163653,male,SME,9798347932749,1,NULL,2,MEMBER,1,NULL,,0,0,0,SME,2023-12-27 11:41:14,NULL,,เจ้าของกิจการ
88901787,ทดสอบ,สองสองหนึ่ง,osk IT,,2023-12-27 16:51:32,2023-12-27 17:18:29,NULL,1894,1c012ba9e8c17c5578705ad3a4a78af4987e0476511704d60ae92126adf55437,NULL,NULL,0948585858,male,SME,3434343434343,1,NULL,2,MEMBER,1,NULL,,0,0,0,SME,2023-12-27 16:51:32,NULL,ccccase,เจ้าของกิจการ
88901788,lalic,bn,ETT,,2023-12-27 17:20:24,2023-12-28 00:46:13,NULL,1895,aa1834bfab9c48b0a1e5a25de63fd480828e5c19a31de1992e7aeed7f92e2bf2,NULL,NULL,0987654565,male,SME,5456589576856,1,NULL,2,MEMBER,1,NULL,,0,0,0,SME,2023-12-27 17:20:24,NULL,cdfgt,เจ้าของกิจการ
88901789,Pakin,Silpasert,pakin plus ninety,,2023-12-27 20:07:08,2023-12-27 20:13:29,NULL,1896,79391ac69279d378584876f39a71456b573928af5984ec316d21a3623d7aa770,NULL,NULL,0000000000,male,SME,0000000000000,1,NULL,2,MEMBER,1,NULL,,0,0,0,SME,2023-12-27 20:07:08,NULL,,เจ้าของกิจการ
88901790,pakin,silpasert,pakin plus ninetytwo,,2023-12-27 20:15:30,2023-12-27 20:16:33,NULL,1897,79391ac69279d378584876f39a71456bc173e1ed912bdcd2664a9105da876899,NULL,NULL,0000000000,male,SME,0000000000000,1,NULL,1,MEMBER,1,NULL,,0,0,0,SME,2023-12-27 20:15:30,NULL,,เจ้าของกิจการ
88901791,ธีรโชติ,แสงจันทร์ศิริพร,NULL,,2023-12-28 14:26:47,2024-01-22 16:56:21,NULL,1898,2519606dc54fd68151f7d1c24636cbd4828e5c19a31de1992e7aeed7f92e2bf2,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,SET_MEMBER,NULL,NULL,,0,0,0,SETMEMBER,2023-12-28 14:26:47,7004371,NULL,NULL
88901792,Park,Test,ทดสอบสร้างบริษัท,,2024-01-03 11:44:39,2024-01-04 10:40:57,NULL,1899,f21619cb23c3111532b1d6d10ca52a95ca9322bb67295e41bddf11ee10ec9702,NULL,NULL,0949599541,male,SME,1234567890123,1,NULL,8,MEMBER,1,NULL,,0,0,0,SME,2024-01-03 11:44:39,NULL,be4deaths,เจ้าของกิจการ
88901793,ด๊อกเต้ย,บวกสามเดฟ,NULL,,2024-01-03 13:27:11,2024-01-03 13:53:09,NULL,1900,0072d7d8f9d74ccf534d18030f65b2c1dda840c871249d4b955b666eb1acb9a9,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,SET_MEMBER,NULL,NULL,,0,0,0,SETMEMBER,2024-01-03 13:27:11,7004369,NULL,NULL
88901794,ด๊อกเต้ย,บวกสี่เดฟ,NULL,,2024-01-03 13:27:26,2024-01-12 14:14:29,NULL,1901,db60d942e467b084c361f0229a7fcb96dda840c871249d4b955b666eb1acb9a9,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,SET_MEMBER,NULL,NULL,,0,0,0,SETMEMBER,2024-01-03 13:27:26,7004370,NULL,NULL
88901795,ทดสอบ,สี่,NULL,,2024-01-03 15:20:09,2024-01-22 11:59:01,NULL,1902,2c22cd762ca6a0293efa69ea2ae4ff98828e5c19a31de1992e7aeed7f92e2bf2,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,SET_MEMBER,NULL,NULL,,0,0,0,SETMEMBER,2024-01-03 15:20:09,7004376,NULL,NULL
88901796,pornpavitplus,onehundrednineteen,pornpavit plus one hundred nineteen,,2024-01-03 16:23:21,2024-01-18 09:45:08,NULL,1903,69fd832f2f5ac7bf6b38c489dd779d8c6ac4782832dd763f97198f8431a15c78,NULL,NULL,0899999999,male,SME,1234567890123,4,ทดสอบ รูปแบบกิจการ,5,MEMBER,1,NULL,,0,0,0,SME,2024-01-03 16:23:21,NULL,1234567890,เจ้าของกิจการ
